Код товара,Наименование товара,Псевдоним,Цена,Краткое описание,Полное описание,Title страницы,Усиленная дверная коробка B90,Изображение,Алюминиевый нащельник,Открывание,Цвет,Цвет иллюминатора,Наличник,Title Изображения,Ключевые слова,Свободный атрибут,Размер полотна,Мета-описание
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON серая с алюминиевыми торцами,,18365,Гладкая пластиковая одностворчатая дверь POSEIDON серая с алюминиевыми торцами,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON серая с алюминиевыми торцами
Производитель: Дверной Тон (Россия)
Цвет: Серый
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON серая с алюминиевыми торцами,,______________________________________________________________________________POSEIDON______________________________________________________.png|151.png,,,,,С двух сторон;+4175|С одной стороны;+2505|Без наличника,Гладкая пластиковая одностворчатая дверь POSEIDON серая с алюминиевыми торцами|,Гладкая пластиковая одностворчатая дверь POSEIDON серая с алюминиевыми торцами,,900х2000|800х2000|700х2000|600х2000,Гладкая пластиковая одностворчатая дверь POSEIDON серая с алюминиевыми торцами
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON серая с выпадающим окном,,32480,Гладкая пластиковая одностворчатая дверь POSEIDON серая с выпадающим окном,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON серая с выпадающим окном
Производитель: Дверной Тон (Россия)
Цвет: Серый
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON серая с выпадающим окном,,3456252354235623.png|152.png,,,,,Без наличника|С одной стороны;+2505|С двух сторон;+4175,Гладкая пластиковая одностворчатая дверь POSEIDON серая с выпадающим окном|,Гладкая пластиковая одностворчатая дверь POSEIDON серая с выпадающим окном,,600х2000|700х2000|800х2000|900х2000,Гладкая пластиковая одностворчатая дверь POSEIDON серая с выпадающим окном
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON серая с открывающимся окном,,25700,Гладкая пластиковая одностворчатая дверь POSEIDON серая с открывающимся окном,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON серая с открывающимся окном
Производитель: Дверной Тон (Россия)
Цвет: Серый
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON серая с открывающимся окном,,______________________________________________________________________________POSEIDON____________________________________________________1.png|153.png,,,,,С двух сторон;+4175|С одной стороны;+2505|Без наличника,Гладкая пластиковая одностворчатая дверь POSEIDON серая с открывающимся окном|,Гладкая пластиковая одностворчатая дверь POSEIDON серая с открывающимся окном,,900х2000|800х2000|700х2000|600х2000,Гладкая пластиковая одностворчатая дверь POSEIDON серая с открывающимся окном
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON серая с наклейкой для туалетов WOMAN,,22350,Гладкая пластиковая одностворчатая дверь POSEIDON серая с наклейкой для туалетов WOMAN,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON серая с наклейкой для туалетов WOMAN
Производитель: Дверной Тон (Россия)
Цвет: Серый
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON серая с наклейкой для туалетов WOMAN,,______________________________________________________________________________POSEIDON__________________________________________________________WOMAN.png|154.png,,,,,Без наличника|С одной стороны;+2505|С двух сторон;+4175,Гладкая пластиковая одностворчатая дверь POSEIDON серая с наклейкой для туалетов WOMAN|,Гладкая пластиковая одностворчатая дверь POSEIDON серая с наклейкой для туалетов WOMAN,,600х2000|700х2000|800х2000|900х2000,Гладкая пластиковая одностворчатая дверь POSEIDON серая с наклейкой для туалетов WOMAN
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON серая с наклейкой для туалетов MAN,,22350,Гладкая пластиковая одностворчатая дверь POSEIDON серая с наклейкой для туалетов MAN,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON серая с наклейкой для туалетов MAN
Производитель: Дверной Тон (Россия)
Цвет: Серый
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON серая с наклейкой для туалетов MAN,,______________________________________________________________________________POSEIDON__________________________________________________________MAN.png|155.png,,,,,С двух сторон;+4175|С одной стороны;+2505|Без наличника,Гладкая пластиковая одностворчатая дверь POSEIDON серая с наклейкой для туалетов MAN|,Гладкая пластиковая одностворчатая дверь POSEIDON серая с наклейкой для туалетов MAN,,900х2000|800х2000|700х2000|600х2000,Гладкая пластиковая одностворчатая дверь POSEIDON серая с наклейкой для туалетов MAN
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 1,,17840,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 1,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 1
Производитель: Дверной Тон (Россия)
Цвет: Серый
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 1,,______________________________________________________________________________POSEIDON______________________________________________11.png|156.png,,,,,Без наличника|С одной стороны;+2505|С двух сторон;+4175,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 1|,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 1,,600х2000|700х2000|800х2000|900х2000,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 1
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 2,,17840,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 2,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 2
Производитель: Дверной Тон (Россия)
Цвет: Серый
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 2,,______________________________________________________________________________POSEIDON______________________________________________21.png|157.png,,,,,С двух сторон;+4175|С одной стороны;+2505|Без наличника,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 2|,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 2,,900х2000|800х2000|700х2000|600х2000,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 2
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 3,,17490,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 3,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 3
Производитель: Дверной Тон (Россия)
Цвет: Серый
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 3,,______________________________________________________________________________POSEIDON______________________________________________31.png|158.png,,,,,Без наличника|С одной стороны;+2505|С двух сторон;+4175,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 3|,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 3,,600х2000|700х2000|800х2000|900х2000,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 3
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 4,,17880,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 4,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 4
Производитель: Дверной Тон (Россия)
Цвет: Серый
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 4,,______________________________________________________________________________POSEIDON______________________________________________41.png|159.png,,,,,С двух сторон;+4175|С одной стороны;+2505|Без наличника,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 4|,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 4,,900х2000|800х2000|700х2000|600х2000,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 4
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 5,,17535,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 5,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 5
Производитель: Дверной Тон (Россия)
Цвет: Серый
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 5,,______________________________________________________________________________POSEIDON______________________________________________51.png|160.png,,,,,Без наличника|С одной стороны;+2505|С двух сторон;+4175,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 5|,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 5,,600х2000|700х2000|800х2000|900х2000,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 5
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 6,,17535,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 6,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 6
Производитель: Дверной Тон (Россия)
Цвет: Серый
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 6,,______________________________________________________________________________POSEIDON______________________________________________61.png|161.png,,,,,С двух сторон;+4175|С одной стороны;+2505|Без наличника,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 6|,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 6,,900х2000|800х2000|700х2000|600х2000,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 6
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 7,,18745,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 7,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 7
Производитель: Дверной Тон (Россия)
Цвет: Серый
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 7,,______________________________________________________________________________POSEIDON______________________________________________71.png|162.png,,,,,Без наличника|С одной стороны;+2505|С двух сторон;+4175,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 7|,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 7,,600х2000|700х2000|800х2000|900х2000,Гладкая пластиковая одностворчатая дверь POSEIDON серая остекление модель 7
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая полуторная дверь POSEIDON серая остекленная,,31290,Гладкая пластиковая полуторная дверь POSEIDON серая остекленная,"Наименование: Гладкая пластиковая полуторная дверь POSEIDON серая остекленная
Производитель: Дверной Тон (Россия)
Цвет: Серый
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая полуторная дверь POSEIDON серая остекленная,,______________________________________________________________________POSEIDON__________________________________1.png|163.png,,,,,С двух сторон;+4175|С одной стороны;+2505|Без наличника,Гладкая пластиковая полуторная дверь POSEIDON серая остекленная|,Гладкая пластиковая полуторная дверь POSEIDON серая остекленная,,900+300х2000|800+300х2000|700+300х2000|600+300х2000,Гладкая пластиковая полуторная дверь POSEIDON серая остекленная
1.3.2.Маятниковые двери POSEIDON Стандарт,,,,,,,,full_full______________________________________________________________________________________________________POSEIDON_________________________________________.png,,,,,,,,,,
